epoch,avg training loss,avg validation loss,avg training mae,avg validation mae
249,tensor(0.0074),0.0642613120493026,tensor(0.0740),tensor(0.2256)
250,tensor(0.0165),0.0387366978299409,tensor(0.1070),tensor(0.1597)
251,tensor(0.0091),0.04352586577258685,tensor(0.0830),tensor(0.1724)
252,tensor(0.0102),0.041310976364501255,tensor(0.0836),tensor(0.1664)
253,tensor(0.0164),0.039478692722575676,tensor(0.1025),tensor(0.1650)
254,tensor(0.0109),0.06275248188337,tensor(0.0898),tensor(0.2161)
255,tensor(0.0185),0.041040491965030415,tensor(0.1161),tensor(0.1687)
256,tensor(0.0191),0.10991766657462844,tensor(0.1148),tensor(0.3075)
257,tensor(0.0299),0.04391423559200439,tensor(0.1494),tensor(0.1761)
258,tensor(0.0145),0.06100177863460571,tensor(0.1050),tensor(0.2116)
259,tensor(0.0101),0.04915160887262237,tensor(0.0856),tensor(0.1874)
260,tensor(0.0066),0.05872145153089256,tensor(0.0687),tensor(0.2101)
261,tensor(0.0066),0.04375758391699902,tensor(0.0679),tensor(0.1762)
262,tensor(0.0093),0.038412837956666016,tensor(0.0781),tensor(0.1628)
263,tensor(0.0114),0.055482104594605446,tensor(0.0900),tensor(0.2037)
264,tensor(0.0127),0.040730233170121095,tensor(0.0924),tensor(0.1677)
265,tensor(0.0096),0.044342481889961295,tensor(0.0783),tensor(0.1771)
266,tensor(0.0048),0.04018427517830398,tensor(0.0561),tensor(0.1671)
267,tensor(0.0112),0.05368953462733601,tensor(0.0872),tensor(0.1992)
268,tensor(0.0064),0.03764653720454483,tensor(0.0659),tensor(0.1617)
269,tensor(0.0166),0.0571383331188432,tensor(0.1069),tensor(0.2086)
270,tensor(0.0128),0.04150404998532529,tensor(0.0955),tensor(0.1708)
271,tensor(0.0104),0.04093476013798658,tensor(0.0862),tensor(0.1687)
272,tensor(0.0080),0.044668392361601965,tensor(0.0744),tensor(0.1777)
273,tensor(0.0146),0.0439225387712397,tensor(0.1009),tensor(0.1758)
274,tensor(0.0168),0.038194473760369226,tensor(0.1014),tensor(0.1625)
275,tensor(0.0218),0.057179804565203794,tensor(0.1247),tensor(0.2076)
276,tensor(0.0148),0.03828502965344529,tensor(0.1037),tensor(0.1636)
277,tensor(0.0097),0.06423922926767327,tensor(0.0835),tensor(0.2223)
278,tensor(0.0080),0.044376924662970385,tensor(0.0763),tensor(0.1802)
279,tensor(0.0110),0.04060489930763319,tensor(0.0912),tensor(0.1715)
280,tensor(0.0133),0.04718964591854277,tensor(0.0903),tensor(0.1877)
281,tensor(0.0077),0.0382381975288405,tensor(0.0737),tensor(0.1625)
282,tensor(0.0098),0.04700888085979896,tensor(0.0748),tensor(0.1842)
283,tensor(0.0096),0.04452241257065001,tensor(0.0793),tensor(0.1783)
284,tensor(0.0056),0.042824456772625676,tensor(0.0629),tensor(0.1736)
285,tensor(0.0052),0.05017194769377838,tensor(0.0609),tensor(0.1908)
286,tensor(0.0155),0.04191886623487862,tensor(0.1040),tensor(0.1715)
287,tensor(0.0072),0.046605275559750046,tensor(0.0697),tensor(0.1840)
288,tensor(0.0068),0.03706967584237978,tensor(0.0686),tensor(0.1614)
289,tensor(0.0054),0.05867723045066173,tensor(0.0633),tensor(0.2116)
290,tensor(0.0054),0.03687651284357917,tensor(0.0628),tensor(0.1599)
291,tensor(0.0067),0.05220171474355204,tensor(0.0702),tensor(0.1950)
292,tensor(0.0052),0.040680532586481785,tensor(0.0615),tensor(0.1669)
